"","social_pm.date","social_pm.blog","social_pm.twitter","social_pm.news","social_pm.total"
"745","2018-01-14",789,2387,289,3465
"746","2018-01-15",2498,4502,773,7773
"747","2018-01-16",2664,5668,623,8955
"748","2018-01-17",4373,6643,1107,12123
"749","2018-01-18",4653,5495,941,11089
"750","2018-01-19",3667,3092,473,7232
"751","2018-01-20",2205,3648,213,6066
"752","2018-01-21",2322,3032,296,5650
"753","2018-01-22",3050,2387,430,5867
"754","2018-01-23",2272,1902,345,4519
"755","2018-01-24",1645,1339,246,3230
"756","2018-01-25",1468,1224,380,3072
"757","2018-01-26",1107,844,103,2054
"758","2018-01-27",661,666,52,1379
"759","2018-01-28",652,499,84,1235
"760","2018-01-29",993,876,182,2051
"761","2018-01-30",1078,1117,220,2415
"762","2018-01-31",1022,771,176,1969
"763","2018-02-01",926,582,261,1769
"764","2018-02-02",867,504,110,1481
"765","2018-02-03",572,366,41,979
"766","2018-02-04",545,323,87,955
"767","2018-02-05",826,435,160,1421
"768","2018-02-06",802,568,200,1570
"769","2018-02-07",775,433,157,1365
"770","2018-02-08",772,508,167,1447
"771","2018-02-09",1028,1042,168,2238
"772","2018-02-10",817,825,125,1767
"773","2018-02-11",468,474,40,982
"774","2018-02-12",811,302,100,1213
"775","2018-02-13",799,446,147,1392
"776","2018-02-14",750,714,171,1635
"777","2018-02-15",393,317,95,805
"778","2018-02-16",269,220,85,574
"779","2018-02-17",308,244,66,618
"780","2018-02-18",404,224,79,707
"781","2018-02-19",788,314,219,1321
"782","2018-02-20",1060,696,251,2007
"783","2018-02-21",942,377,197,1516
"784","2018-02-22",825,330,183,1338
"785","2018-02-23",1122,1206,248,2576
"786","2018-02-24",985,947,118,2050
"787","2018-02-25",818,394,75,1287
"788","2018-02-26",1205,636,192,2033
"789","2018-02-27",1803,1802,420,4025
"790","2018-02-28",1902,1556,426,3884
"791","2018-03-01",970,640,115,1725
"792","2018-03-02",1008,539,166,1713
"793","2018-03-03",721,696,76,1493
"794","2018-03-04",742,537,75,1354
"795","2018-03-05",1306,804,203,2313
"796","2018-03-06",1105,441,209,1755
"797","2018-03-07",1039,456,170,1665
"798","2018-03-08",1045,359,132,1536
"799","2018-03-09",1059,535,179,1773
"800","2018-03-10",727,530,94,1351
"801","2018-03-11",933,710,186,1829
"802","2018-03-12",1945,1953,316,4214
"803","2018-03-13",2328,2139,315,4782
"804","2018-03-14",1911,1536,236,3683
"805","2018-03-15",1463,531,183,2177
"806","2018-03-16",1337,751,223,2311
"807","2018-03-17",837,481,91,1409
"808","2018-03-18",937,643,120,1700
"809","2018-03-19",1331,644,208,2183
"810","2018-03-20",1121,648,256,2025
"811","2018-03-21",1009,698,194,1901
"812","2018-03-22",1053,674,211,1938
"813","2018-03-23",1479,1306,366,3151
"814","2018-03-24",1976,4233,172,6381
"815","2018-03-25",4576,13051,592,18219
"816","2018-03-26",9912,29623,1385,40920
"817","2018-03-27",8699,14369,1257,24325
"818","2018-03-28",7609,9596,837,18042
"819","2018-03-29",6761,6478,827,14066
"820","2018-03-30",5496,4594,462,10552
"821","2018-03-31",3314,3677,179,7170
"822","2018-04-01",3265,3342,236,6843
"823","2018-04-02",4460,3315,388,8163
"824","2018-04-03",3731,2375,311,6417
"825","2018-04-04",4108,2430,560,7098
"826","2018-04-05",3632,1406,453,5491
"827","2018-04-06",3746,6501,688,10935
"828","2018-04-07",2722,2904,224,5850
"829","2018-04-08",2242,1822,258,4322
"830","2018-04-09",4774,2718,597,8089
"831","2018-04-10",3211,2153,448,5812
"832","2018-04-11",3721,2835,552,7108
"833","2018-04-12",3258,1505,507,5270
"834","2018-04-13",2655,1346,292,4293
"835","2018-04-14",1521,721,146,2388
"836","2018-04-15",2862,4042,396,7300
"837","2018-04-16",4137,2006,475,6618
"838","2018-04-17",3470,1603,446,5519
"839","2018-04-18",3695,2167,403,6265
"840","2018-04-19",3454,1783,377,5614
"841","2018-04-20",3742,3995,390,8127
"842","2018-04-21",2926,4003,151,7080
"843","2018-04-22",2687,1494,162,4343
"844","2018-04-23",3605,1238,212,5055
"845","2018-04-24",3197,949,293,4439
"846","2018-04-25",3118,1272,375,4765
"847","2018-04-26",2431,1145,271,3847
"848","2018-04-27",2147,994,194,3335
"849","2018-04-28",1838,1636,111,3585
"850","2018-04-29",1996,1243,165,3404
"851","2018-04-30",3363,2096,323,5782
"852","2018-05-01",3194,1954,258,5406
"853","2018-05-02",3104,1180,260,4544
"854","2018-05-03",2631,1152,323,4106
"855","2018-05-04",2234,915,263,3412
"856","2018-05-05",1327,825,154,2306
"857","2018-05-06",1372,443,81,1896
"858","2018-05-07",1609,489,159,2257
"859","2018-05-08",2113,754,308,3175
"860","2018-05-09",2143,493,368,3004
"861","2018-05-10",2070,541,264,2875
"862","2018-05-11",1890,1029,185,3104
"863","2018-05-12",1253,449,67,1769
"864","2018-05-13",1247,330,137,1714
"865","2018-05-14",2106,1084,317,3507
"866","2018-05-15",2287,1904,323,4514
"867","2018-05-16",1891,837,250,2978
"868","2018-05-17",1614,785,286,2685
"869","2018-05-18",1490,527,174,2191
"870","2018-05-19",1427,788,104,2319
"871","2018-05-20",1607,414,130,2151
"872","2018-05-21",2275,636,274,3185
"873","2018-05-22",1388,313,136,1837
"874","2018-05-23",2168,1003,313,3484
"875","2018-05-24",2395,1332,489,4216
"876","2018-05-25",2271,1465,254,3990
"877","2018-05-26",1499,860,120,2479
"878","2018-05-27",1444,682,136,2262
"879","2018-05-28",2059,691,290,3040
"880","2018-05-29",1794,684,318,2796
"881","2018-05-30",1667,575,293,2535
"882","2018-05-31",1625,594,316,2535
"883","2018-06-01",1362,610,202,2174
"884","2018-06-02",828,319,108,1255
"885","2018-06-03",990,334,149,1473
"886","2018-06-04",1258,735,255,2248
"887","2018-06-05",1246,540,241,2027
"888","2018-06-06",926,545,123,1594
"889","2018-06-07",1446,682,255,2383
"890","2018-06-08",1341,488,180,2009
"891","2018-06-09",827,388,76,1291
"892","2018-06-10",932,405,80,1417
"893","2018-06-11",1368,398,165,1931
"894","2018-06-12",1342,397,180,1919
"895","2018-06-13",847,181,111,1139
"896","2018-06-14",1057,289,229,1575
"897","2018-06-15",1021,367,141,1529
"898","2018-06-16",709,412,83,1204
"899","2018-06-17",808,321,112,1241
"900","2018-06-18",1201,519,189,1909
"901","2018-06-19",1035,489,171,1695
"902","2018-06-20",1068,393,165,1626
"903","2018-06-21",1012,403,163,1578
"904","2018-06-22",939,278,133,1350
"905","2018-06-23",560,249,78,887
"906","2018-06-24",697,449,113,1259
"907","2018-06-25",1046,575,185,1806
"908","2018-06-26",1137,610,212,1959
"909","2018-06-27",1021,378,154,1553
"910","2018-06-28",811,291,201,1303
"911","2018-06-29",801,274,153,1228
"912","2018-06-30",548,359,38,945
"913","2018-07-01",528,275,59,862
"914","2018-07-02",839,304,146,1289
"915","2018-07-03",878,419,186,1483
"916","2018-07-04",1008,404,142,1554
"917","2018-07-05",866,280,142,1288
"918","2018-07-06",837,386,226,1449
"919","2018-07-07",748,538,75,1361
"920","2018-07-08",758,284,67,1109
"921","2018-07-09",1000,313,149,1462
"922","2018-07-10",925,280,131,1336
"923","2018-07-11",791,238,157,1186
"924","2018-07-12",784,298,164,1246
"925","2018-07-13",741,201,91,1033
"926","2018-07-14",531,163,62,756
"927","2018-07-15",522,190,94,806
"928","2018-07-16",827,295,125,1247
"929","2018-07-17",736,439,169,1344
"930","2018-07-18",800,416,250,1466
"931","2018-07-19",743,429,158,1330
"932","2018-07-20",746,723,150,1619
"933","2018-07-21",555,531,84,1170
"934","2018-07-22",539,407,70,1016
"935","2018-07-23",733,384,195,1312
"936","2018-07-24",726,305,142,1173
"937","2018-07-25",671,295,153,1119
"938","2018-07-26",663,297,183,1143
"939","2018-07-27",664,358,114,1136
"940","2018-07-28",425,300,51,776
"941","2018-07-29",456,236,50,742
"942","2018-07-30",744,352,129,1225
"943","2018-07-31",700,320,131,1151
"944","2018-08-01",650,313,112,1075
"945","2018-08-02",561,335,101,997
"946","2018-08-03",591,345,153,1089
"947","2018-08-04",403,205,46,654
"948","2018-08-05",424,188,45,657
"949","2018-08-06",576,197,114,887
"950","2018-08-07",571,184,113,868
"951","2018-08-08",588,186,137,911
"952","2018-08-09",560,232,101,893
"953","2018-08-10",556,177,83,816
"954","2018-08-11",386,201,33,620
"955","2018-08-12",412,173,43,628
"956","2018-08-13",568,199,110,877
"957","2018-08-14",543,189,112,844
"958","2018-08-15",446,123,61,630
"959","2018-08-16",563,273,125,961
"960","2018-08-17",581,279,78,938
"961","2018-08-18",407,229,34,670
"962","2018-08-19",401,223,45,669
"963","2018-08-20",582,230,103,915
"964","2018-08-21",576,328,145,1049
"965","2018-08-22",548,305,98,951
"966","2018-08-23",517,301,87,905
"967","2018-08-24",478,266,72,816
"968","2018-08-25",232,190,38,460
"969","2018-08-26",233,175,47,455
"970","2018-08-27",423,197,130,750
"971","2018-08-28",464,278,217,959
"972","2018-08-29",459,210,103,772
"973","2018-08-30",424,205,133,762
"974","2018-08-31",419,232,101,752
"975","2018-09-01",214,150,29,393
"976","2018-09-02",238,166,67,471
"977","2018-09-03",452,241,103,796
"978","2018-09-04",449,252,128,829
"979","2018-09-05",512,202,143,857
"980","2018-09-06",413,172,184,769
"981","2018-09-07",384,200,84,668
"982","2018-09-08",262,192,36,490
"983","2018-09-09",267,169,68,504
"984","2018-09-10",540,229,143,912
"985","2018-09-11",503,230,114,847
"986","2018-09-12",483,184,138,805
"987","2018-09-13",492,200,104,796
"988","2018-09-14",434,177,101,712
"989","2018-09-15",255,178,37,470
"990","2018-09-16",291,232,47,570
"991","2018-09-17",505,265,97,867
"992","2018-09-18",537,295,173,1005
"993","2018-09-19",608,286,118,1012
"994","2018-09-20",459,263,73,795
"995","2018-09-21",396,199,64,659
"996","2018-09-22",234,248,42,524
"997","2018-09-23",161,225,49,435
"998","2018-09-24",160,232,44,436
"999","2018-09-25",226,252,40,518
"1000","2018-09-26",246,224,39,509
"1001","2018-09-27",474,142,109,725
"1002","2018-09-28",414,144,97,655
"1003","2018-09-29",299,65,45,409
"1004","2018-09-30",303,99,63,465
"1005","2018-10-01",569,204,95,868
"1006","2018-10-02",483,192,97,772
"1007","2018-10-03",322,166,54,542
"1008","2018-10-04",477,236,120,833
"1009","2018-10-05",393,235,114,742
"1010","2018-10-06",226,195,21,442
"1011","2018-10-07",238,166,49,453
"1012","2018-10-08",419,261,114,794
"1013","2018-10-09",290,245,98,633
"1014","2018-10-10",475,246,142,863
"1015","2018-10-11",412,287,129,828
"1016","2018-10-12",386,251,109,746
"1017","2018-10-13",246,230,39,515
"1018","2018-10-14",291,395,88,774
"1019","2018-10-15",1446,1967,276,3689
"1020","2018-10-16",2204,2537,246,4987
"1021","2018-10-17",1761,1222,205,3188
"1022","2018-10-18",1119,531,110,1760
"1023","2018-10-19",878,448,106,1432
"1024","2018-10-20",477,329,79,885
"1025","2018-10-21",544,382,99,1025
"1026","2018-10-22",1033,700,221,1954
"1027","2018-10-23",1353,2111,239,3703
"1028","2018-10-24",1137,635,241,2013
"1029","2018-10-25",861,378,134,1373
"1030","2018-10-26",752,501,90,1343
"1031","2018-10-27",444,317,53,814
"1032","2018-10-28",391,296,77,764
"1033","2018-10-29",617,389,136,1142
"1034","2018-10-30",577,361,163,1101
"1035","2018-10-31",620,351,137,1108
"1036","2018-11-01",542,264,118,924
"1037","2018-11-02",535,333,125,993
"1038","2018-11-03",435,703,70,1208
"1039","2018-11-04",753,594,131,1478
"1040","2018-11-05",1632,1381,219,3232
"1041","2018-11-06",3604,7795,408,11807
"1042","2018-11-07",5994,7551,726,14271
"1043","2018-11-08",4655,3046,415,8116
"1044","2018-11-09",3378,2339,300,6017
"1045","2018-11-10",2304,2329,138,4771
"1046","2018-11-11",2779,2721,206,5706
"1047","2018-11-12",3851,1630,315,5796
"1048","2018-11-13",2668,1124,365,4157
"1049","2018-11-14",2214,968,255,3437
"1050","2018-11-15",1917,996,278,3191
"1051","2018-11-16",2080,1453,234,3767
"1052","2018-11-17",1190,892,126,2208
"1053","2018-11-18",1168,684,114,1966
"1054","2018-11-19",2057,1042,286,3385
"1055","2018-11-20",1647,819,278,2744
"1056","2018-11-21",1520,748,227,2495
"1057","2018-11-22",1325,605,196,2126
"1058","2018-11-23",1066,541,137,1744
"1059","2018-11-24",557,540,73,1170
"1060","2018-11-25",833,780,124,1737
"1061","2018-11-26",1753,1408,311,3472
"1062","2018-11-27",3679,5461,432,9572
"1063","2018-11-28",4879,6256,451,11586
"1064","2018-11-29",3578,2748,298,6624
"1065","2018-11-30",3079,2081,221,5381
"1066","2018-12-01",1732,1110,105,2947
"1067","2018-12-02",1660,739,96,2495
"1068","2018-12-03",2497,1028,246,3771
"1069","2018-12-04",2187,892,198,3277
"1070","2018-12-05",1584,610,196,2390
"1071","2018-12-06",1337,501,129,1967
"1072","2018-12-07",1185,670,101,1956
"1073","2018-12-08",700,537,65,1302
"1074","2018-12-09",613,469,65,1147
"1075","2018-12-10",1163,536,143,1842
"1076","2018-12-11",1134,594,172,1900
"1077","2018-12-12",1091,503,190,1784
"1078","2018-12-13",996,433,154,1583
"1079","2018-12-14",814,331,124,1269
"1080","2018-12-15",635,341,79,1055
"1081","2018-12-16",679,528,123,1330
"1082","2018-12-17",1534,1454,354,3342
"1083","2018-12-18",1530,1372,334,3236
"1084","2018-12-19",1678,1197,247,3122
"1085","2018-12-20",1854,1285,239,3378
"1086","2018-12-21",1992,1547,220,3759
"1087","2018-12-22",1456,2004,134,3594
"1088","2018-12-23",1228,1073,132,2433
"1089","2018-12-24",1406,670,180,2256
"1090","2018-12-25",720,397,130,1247
"1091","2018-12-26",1208,511,205,1924
"1092","2018-12-27",1091,510,138,1739
"1093","2018-12-28",884,504,170,1558
"1094","2018-12-29",523,360,74,957
"1095","2018-12-30",555,333,101,989
"1096","2018-12-31",821,417,138,1376
"1097","2019-01-01",447,288,104,839
"1098","2019-01-02",857,425,221,1503
"1099","2019-01-03",901,561,153,1615
"1100","2019-01-04",1063,985,200,2248
"1101","2019-01-05",971,980,112,2063
"1102","2019-01-06",865,396,120,1381
"1103","2019-01-07",1373,718,220,2311
"1104","2019-01-08",1401,679,248,2328
"1105","2019-01-09",1158,473,193,1824
"1106","2019-01-10",1294,562,204,2060
"1107","2019-01-11",1649,1132,215,2996
"1108","2019-01-12",1758,2276,154,4188
"1109","2019-01-13",2556,3731,284,6571
"1110","2019-01-14",7604,17044,876,25524
"1111","2019-01-15",8650,16971,1008,26629
"1112","2019-01-16",6751,4991,624,12366
"1113","2019-01-17",4762,2876,398,8036
"1114","2019-01-18",3863,2409,346,6618
"1115","2019-01-19",2956,3500,190,6646
"1116","2019-01-20",2767,1789,226,4782
"1117","2019-01-21",3715,1881,397,5993
"1118","2019-01-22",3273,1731,524,5528
"1119","2019-01-23",3399,2837,451,6687
"1120","2019-01-24",2784,1384,390,4558
"1121","2019-01-25",2301,1177,354,3832
"1122","2019-01-26",1371,903,151,2425
"1123","2019-01-27",1314,786,189,2289
"1124","2019-01-28",1992,1065,429,3486
"1125","2019-01-29",1860,1220,346,3426
"1126","2019-01-30",1819,1016,304,3139
"1127","2019-01-31",1726,803,222,2751
"1128","2019-02-01",1327,723,212,2262
"1129","2019-02-02",885,757,117,1759
"1130","2019-02-03",803,870,96,1769
"1131","2019-02-04",792,934,138,1864
"1132","2019-02-05",629,862,114,1605
"1133","2019-02-06",920,1016,257,2193
"1134","2019-02-07",1552,1272,354,3178
"1135","2019-02-08",1478,895,224,2597
"1136","2019-02-09",909,617,74,1600
"1137","2019-02-10",941,679,111,1731
"1138","2019-02-11",1464,618,285,2367
"1139","2019-02-12",1853,961,284,3098
"1140","2019-02-13",1711,843,303,2857
"1141","2019-02-14",1586,686,293,2565
"1142","2019-02-15",1390,888,299,2577
"1143","2019-02-16",890,686,92,1668
"1144","2019-02-17",920,726,146,1792
"1145","2019-02-18",1489,615,297,2401
"1146","2019-02-19",1426,677,267,2370
"1147","2019-02-20",1853,1186,483,3522
"1148","2019-02-21",2847,2756,453,6056
"1149","2019-02-22",3553,3247,461,7261
"1150","2019-02-23",2364,2877,165,5406
"1151","2019-02-24",2219,2020,160,4399
"1152","2019-02-25",3918,2860,443,7221
"1153","2019-02-26",3096,1699,361,5156
"1154","2019-02-27",2846,1191,306,4343
"1155","2019-02-28",3035,2345,366,5746
"1156","2019-03-01",3337,5541,242,9120
"1157","2019-03-02",4230,6459,158,10847
"1158","2019-03-03",4799,6537,222,11558
"1159","2019-03-04",7605,14061,726,22392
"1160","2019-03-05",11132,33639,1367,46138
"1161","2019-03-06",12033,27471,2093,41597
"1162","2019-03-07",10489,16460,1604,28553
"1163","2019-03-08",8696,8062,815,17573
"1164","2019-03-09",5242,4548,248,10038
"1165","2019-03-10",5084,3818,314,9216
"1166","2019-03-11",6711,4207,716,11634
"1167","2019-03-12",6325,5032,1084,12441
"1168","2019-03-13",6140,4137,953,11230
"1169","2019-03-14",5092,2472,616,8180
"1170","2019-03-15",4320,2440,370,7130
"1171","2019-03-16",2826,1694,149,4669
"1172","2019-03-17",2930,1914,307,5151
"1173","2019-03-18",4694,2051,636,7381
"1174","2019-03-19",4341,2287,621,7249
"1175","2019-03-20",5253,5061,813,11127
"1176","2019-03-21",4323,2659,655,7637
"1177","2019-03-22",3707,1993,517,6217
"1178","2019-03-23",2178,1743,147,4068
"1179","2019-03-24",2700,1622,238,4560
"1180","2019-03-25",4043,2169,568,6780
"1181","2019-03-26",4238,2538,705,7481
"1182","2019-03-27",4850,3724,707,9281
"1183","2019-03-28",4637,3439,774,8850
"1184","2019-03-29",3843,2234,374,6451
"1185","2019-03-30",2043,1355,139,3537
"1186","2019-03-31",2148,2418,268,4834
"1187","2019-04-01",3479,1632,574,5685
"1188","2019-04-02",3167,1224,575,4966
"1189","2019-04-03",2999,1055,519,4573
"1190","2019-04-04",2823,1192,489,4504
"1191","2019-04-05",2841,1817,464,5122
"1192","2019-04-06",1710,1063,149,2922
"1193","2019-04-07",1888,1116,213,3217
"1194","2019-04-08",2861,1010,491,4362
"1195","2019-04-09",2504,892,429,3825
"1196","2019-04-10",2275,902,419,3596
"1197","2019-04-11",2270,1063,386,3719
"1198","2019-04-12",2175,843,324,3342
"1199","2019-04-13",1315,937,132,2384
"1200","2019-04-14",1382,476,141,1999
"1201","2019-04-15",2141,778,441,3360
"1202","2019-04-16",2077,772,361,3210
"1203","2019-04-17",2031,826,443,3300
"1204","2019-04-18",1894,737,590,3221
"1205","2019-04-19",1708,659,338,2705
"1206","2019-04-20",1011,563,123,1697
"1207","2019-04-21",980,595,157,1732
"1208","2019-04-22",1957,1533,489,3979
"1209","2019-04-23",2206,1540,359,4105
"1210","2019-04-24",1923,1052,611,3586
"1211","2019-04-25",1751,700,378,2829
"1212","2019-04-26",1484,542,246,2272
"1213","2019-04-27",1125,645,75,1845
"1214","2019-04-28",1037,496,163,1696
"1215","2019-04-29",1842,631,435,2908
"1216","2019-04-30",1789,740,396,2925
