,Store,Address,지역구,,,,,,,,,,Service
862,GS25도곡역점,서울,강남구,"남부순환로2912,",상가동,1층,104호,(대치동,"500,",그랑프리앤상가),,,CAFE25의약품
863,GS25도곡점,서울,강남구,남부순환로2730(도곡2동,411-16),,,,,,,,로또판매스포츠 토토CAFE25베이커리치킨25의약품택배보조배터리대여현금 출금undefinedundefined
864,GS25도곡푸른점,서울,강남구,"강남대로272,",102동,101호(도곡1동,"949-2,",도곡푸르지오),,,,,의약품
865,GS25도림로점,서울,영등포구,도림로133,(대림2동,1050-10),,,,,,,
866,GS25도림제일점,서울,영등포구,도신로69,(도림동,251-8),,,,,,,CAFE25치킨25의약품택배현금 출금undefined
867,GS25도림행복점,서울,영등포구,"도신로29길8-1,",1층,(도림동,113-12),,,,,,CAFE25치킨25의약품택배현금 출금
868,GS25도림현대점,서울,영등포구,도신로147,(도림동,76-1),,,,,,,의약품택배
869,GS25도봉공원점,서울,도봉구,"방학로104,",1층,(방학동,"689-23,",법성빌딩),,,,,CAFE25의약품택배현금 출금
870,GS25도봉극동점,서울,도봉구,"도봉로180길53,",상가,103호(도봉2동,"81-1,",극동아파트),,,,,CAFE25치킨25의약품현금 출금
871,GS25도봉럭키점,서울,도봉구,"도봉로169나길38,","101,102호",(도봉동,597-19),,,,,,CAFE25치킨25의약품택배현금 출금undefined
872,GS25도봉북서울점,서울,도봉구,"도봉로177길26,",1층(도봉1동,564-17),,,,,,,CAFE25의약품택배현금 출금
873,GS25도봉서원점,서울,도봉구,"마들로724,",상가동,"137,139호",(도봉동,"657,",도봉한양수자인),,,,CAFE25베이커리치킨25의약품택배현금 출금
874,GS25도봉소망점,서울,도봉구,"시루봉로27길23,",1층,(도봉1동,614-24),,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
875,GS25도봉신동아점,서울,도봉구,"방학로203,",상가,104호,(방학3동,"272,",신동아),,,,의약품택배보조배터리대여
876,GS25도봉신성점,서울,도봉구,도봉로154길23,(도봉동,623-133),,,,,,,CAFE25치킨25의약품택배현금 출금undefinedundefined
877,GS25도봉쌍문점,서울,도봉구,"도봉로135길24,",1층(쌍문2동,713-45),,,,,,,CAFE25베이커리치킨25의약품택배보조배터리대여현금 출금undefinedundefined
878,GS25도봉으뜸점,서울,도봉구,"도봉로180길6-25,",동아에코빌A,상가동,106호,(도봉동,654),,,,의약품택배
879,GS25도봉창동점,서울,도봉구,노해로269,(창동,700-108),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
880,GS25도봉타운점,서울,도봉구,도봉산3길7,(도봉동,557-1),,,,,,,CAFE25치킨25의약품택배현금 입/출금
881,GS25도신초교점,서울,영등포구,"대림로34길25-2,",1층,(대림동,684-14),,,,,,의약품택배현금 출금
882,GS25도화베네스트점,서울,마포구,"새창로6길43,",지층,(도화동,2-338),,,,,,CAFE25의약품택배
883,GS25도화삼보점,서울,마포구,도화동181-36번지,삼보빌딩,101호,,,,,,,CAFE25의약품택배현금 출금
884,GS25도화새창점,서울,마포구,"새창로14,",1층(도화동,183-13),,,,,,,의약품
885,GS25도화정진점,서울,마포구,"도화4길88,",1층,(도화동,347-60),,,,,,CAFE25치킨25의약품택배
886,GS25독바위역점,서울,은평구,"불광로131,",1층(불광1동,13-31),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금undefined
887,GS25독산골드파크3차점,서울,금천구,독산동441-14번지,",",롯데캐슬골드파크3차아파트,상가,310동,B37호,,,,CAFE25택배
888,GS25독산골드파크점,서울,금천구,"벚꽃로30,",205동,118호,(독산동,"448-13,",금천롯데캐슬골드파크2차),,,,CAFE25치킨25의약품택배
889,GS25독산문성점,서울,금천구,남부순환로126길69,(독산3동,895-24),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금undefined
890,GS25독산반수점,서울,금천구,독산로313(독산3동,978-36),,,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
891,GS25독산쌈지점,서울,금천구,"독산로80길13,",1층(독산4동,181-65),,,,,,,치킨25의약품택배보조배터리대여현금 출금
892,GS25독산우림점,서울,금천구,"가산디지털1로2,",113호(가산동,"680,",우림라이온스밸리2차),,,,,,CAFE25의약품택배현금 출금
893,GS25독산우시장점,서울,금천구,범안로1201,(독산동,293-21),,,,,,,CAFE25치킨25의약품택배현금 입/출금현금 출금
894,GS25독산우정점,서울,금천구,"독산로75길34,",1층,(독산동,196-21),,,,,,CAFE25의약품택배보조배터리대여현금 출금
895,GS25독산정다운점,서울,금천구,"범안로15길27,",1층(독산1동,332-47),,,,,,,CAFE25의약품현금 출금
896,GS25독산정심점,서울,금천구,독산로74길21(독산4동,185-7),,,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금undefined
897,GS25독산중앙점,서울,금천구,독산로306,(독산3동,"977-24,",경희태권도학원),,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
898,GS25독산초교점,서울,금천구,독산동1050번지,,,,,,,,,치킨25의약품택배
899,GS25독산캐슬점,서울,금천구,"벚꽃로40,",상가,120호,(독산동,"1147,",롯데캐슬골드파크1차),,,,CAFE25치킨25의약품택배
900,GS25독산푸르지오점,서울,금천구,"독산로108길101,",1층,(독산동,901-14),,,,,,CAFE25치킨25의약품택배현금 입/출금현금 출금undefined
901,GS25독산하이점,서울,금천구,독산로73길33,(독산동,1024),,,,,,,CAFE25치킨25의약품택배현금 출금undefined
902,GS25독산한양점,서울,금천구,시흥대로150길21,(독산동,965-26),,,,,,,CAFE25치킨25의약품보조배터리대여현금 출금undefined
903,GS25돈암야채왕점,서울,성북구,동소문동5가85번지,1층,,,,,,,,CAFE25치킨25의약품택배
904,GS25돈암한진점,서울,성북구,"성북로4길52,",한진@상가서관,418-2101(돈암동,609-1),,,,,,의약품택배
905,GS25돈화문로점,서울,종로구,"돈화문로81,",1층(와룡동,"150,",부영빌딩),,,,,,스포츠 토토CAFE25베이커리치킨25의약품택배현금 출금undefined
906,GS25동교사랑점,서울,마포구,월드컵북로2길57(동교동,158-1),,,,,,,,의약품택배현금 출금undefined
907,GS25동교타운점,서울,마포구,"동교로25길15,",1층(동교동,201-1),,,,,,,CAFE25치킨25의약품현금 출금
908,GS25동교행복점,서울,마포구,"와우산로167,",2층,(동교동,182-8),,,,,,의약품택배보조배터리대여현금 출금
909,GS25동국대학점,서울,중구,동호로25길5(장충동2가,193-240),,,,,,,,의약품
910,GS25동국사랑점,서울,중구,"동호로25길45,",1층,(장충동2가,"193-154,",장환빌라),,,,,CAFE25의약품보조배터리대여
911,GS25동국타운점,서울,중구,"동호로25길15,",B1(장충동2가,193-87),,,,,,,CAFE25치킨25의약품택배
912,GS25동대문SK점,서울,동대문구,"사가정로148,",상가1동,106호,107호,(전농동,10),,,,CAFE25의약품택배
913,GS25동대문구청점,서울,동대문구,고산자로28길39,(용두동,39-714),,,,,,,CAFE25베이커리치킨25의약품택배현금 출금undefined
914,GS25동대문두산점,서울,동대문구,"전농로2길10,",1층,(답십리1동,488-25),,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금undefined
915,GS25동대문메가점,서울,동대문구,"천호대로241,",102동,202호,(답십리동,"999,",청계벽산메가트리움),,,,CAFE25치킨25의약품택배현금 출금
916,GS25동대문배봉점,서울,동대문구,"한천로39길28,",1층,(전농2동,3-57),,,,,,CAFE25의약품택배보조배터리대여
917,GS25동대문쇼핑점,서울,중구,"퇴계로73가길34,",1층,2층,1호,(신당동,251-77),,,,로또판매CAFE25의약품현금 출금
918,GS25동대문신동아점,서울,동대문구,무학로26길33,(용두동,122-24),,,,,,,CAFE25치킨25의약품택배현금 출금
919,GS25동대문신설점,서울,동대문구,한빛로24(신설동,25-1),,,,,,,,CAFE25베이커리치킨25의약품택배보조배터리대여현금 출금
920,GS25동대문용두점,서울,동대문구,천호대로31길50(용두동,39-419),,,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
921,GS25동대문장안교점,서울,동대문구,"사가정로260,",1층,(장안동,314-4),,,,,,CAFE25치킨25의약품택배현금 출금
922,GS25동대문장안점,서울,동대문구,장한로165(장안2동,305-1),,,,,,,,CAFE25의약품택배현금 출금
923,GS25동대문장한평점,서울,동대문구,"장한로3,",1층,(장안1동,"416-5,",승원빌딩),,,,,CAFE25의약품택배
924,GS25동대문정릉천점,서울,동대문구,"왕산로23길89,",상가동,101호,(제기동,"252,",이수브라운스톤),,,,CAFE25치킨25의약품택배
925,GS25동대문지웰점,서울,동대문구,"난계로242,",104호,105호,(신설동,"117-12,",신설동지웰홈스),,,,CAFE25치킨25의약품택배현금 출금
926,GS25동대문패션점,서울,중구,"을지로254,",101호,(을지로6가,"23,",타임캐슬오피스텔),,,,,CAFE25치킨25의약품보조배터리대여TAX REFUND
927,GS25동대문한신점,서울,동대문구,"황물로42,",1층,1호,(답십리1동,542-1),,,,,CAFE25의약품택배현금 출금
928,GS25동대문휘경점,서울,동대문구,"망우로12가길10,","102,3호(휘경2동",281-17),,,,,,,CAFE25의약품택배보조배터리대여현금 출금
929,GS25동대후문점,서울,중구,"서애로1길35,",1층(묵정동,"29-23,",동국빌딩),,,,,,CAFE25의약품현금 출금
930,GS25동덕여대사랑점,서울,성북구,"화랑로13길42,",1층,101호(월곡2동,21-56),,,,,,택배보조배터리대여현금 출금
931,GS25동묘역점,서울,종로구,"종로344,",1층(숭인2동,"310,",대우디오빌),,,,,,CAFE25의약품택배현금 출금TAX REFUNDundefined
932,GS25동부시장점,서울,중랑구,"봉우재로41,",1층(면목2동,183-24),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
933,GS25동부이촌점,서울,용산구,"이촌로182,",108호,(이촌동,"302-68,",기업은행),,,,,CAFE25의약품현금 출금
934,GS25동빙고점,서울,용산구,장문로6길97(동빙고동,1-10),,,,,,,,CAFE25의약품택배보조배터리대여
935,GS25동빙고제일점,서울,용산구,서빙고로91나길72,(동빙고동,42-4),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
936,GS25동선행복점,서울,성북구,"동소문로27길31,",1층,101호,(동선동4가,"295-4,",벨라미아오피스텔),,,,의약품택배현금 출금
937,GS25동소문본점,서울,성북구,성북로2길38(동소문동1가,108),,,,,,,,의약품택배현금 출금
938,GS25동소문제일점,서울,성북구,동소문로2길97(동소문동3가,45),,,,,,,,CAFE25의약품택배보조배터리대여현금 출금
939,GS25동소문중앙점,서울,성북구,"동소문로3길4,",1(1층),(동소문동1가,"42,",정화빌딩),,,,,CAFE25의약품
940,GS25동소문타운점,서울,성북구,동소문로17길12(동소문동6가,138-3),,,,,,,,CAFE25의약품택배보조배터리대여
941,GS25동숭점,서울,종로구,동숭길140(혜화동,201),,,,,,,,로또판매CAFE25치킨25의약품현금 출금
942,GS25동여의점,서울,영등포구,"여의대방로65길23,",101호,(여의도동,"45-13,",포레스텔빌딩),,,,,로또판매CAFE25의약품택배현금 출금undefined
943,GS25동자제일점,서울,용산구,한강대로102길12(갈월동,1-5),,,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금undefined
944,GS25동자플래티넘점,서울,용산구,"한강대로372,",C동,108호,(동자동,"45,",센트레빌아스테리움서울),,,,CAFE25의약품택배보조배터리대여현금 출금TAX REFUNDundefined
945,GS25동작대방점,서울,동작구,상도로80(대방동,336-13),,,,,,,,로또판매의약품택배보조배터리대여현금 출금undefined
946,GS25동작도서관점,서울,동작구,"장승배기로96,",1층,102호,(노량진2동,310-99),,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
947,GS25동작드림점,서울,동작구,"상도로34길18,",1층,(상도2동,29-37),,,,,,CAFE25의약품택배현금 출금
948,GS25동작사당점,서울,동작구,"동작대로9길39,",1층(사당1동,1026-38),,,,,,,CAFE25의약품택배현금 출금
949,GS25동작상도점,서울,동작구,상도로130(상도동,355-6),,,,,,,,CAFE25치킨25의약품택배현금 출금undefined
950,GS25동작상떼빌점,서울,동작구,"신대방1가길38,",106동,116호,118(신대방1동,"719,",상떼빌),,,,CAFE25의약품택배보조배터리대여현금 출금
951,GS25동작서림점,서울,동작구,"사당로215,",1층,111호(사당3동,"252-17,",서림테마상가),,,,,CAFE25의약품택배
952,GS25동작성대점,서울,동작구,"성대로12길1,",1층,(상도4동,"263-8,",상도동다빈모1프라자),,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
953,GS25동작신라점,서울,동작구,"시흥대로602,",1층,(신대방1동,686-53),,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금undefinedundefined
954,GS25동작엠코타운점,서울,동작구,"상도로346-1,",상도엠코타운,상가3동,"103,104호",(상도동,531),,,,CAFE25치킨25의약품택배
955,GS25동작우체국점,서울,동작구,여의대방로22길78,(신대방동,361-55),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
956,GS25동작유한점,서울,동작구,"등용로14길44,",1층,(대방동,"43-2,",시티모텔),,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
957,GS25동작이편한점,서울,동작구,"국사봉2길35,",1층,(신대방동,340-6),,,,,,CAFE25치킨25의약품택배
958,GS25동작정금마을점,서울,동작구,"동작대로189,",1층,102호,(동작동,55-21),,,,,CAFE25치킨25의약품택배
959,GS25동작한양점,서울,동작구,"노량진로6길59,",1층,(노량진2동,"289-88,",이례그린미술원),,,,,CAFE25치킨25의약품택배현금 출금undefined
960,GS25동호로제일점,서울,중구,동호로350(을지로5가,275-6),,,,,,,,CAFE25치킨25의약품현금 출금TAX REFUND
961,GS25둔촌동안점,서울,강동구,진황도로153(둔촌2동,448),,,,,,,,CAFE25의약품현금 출금
962,GS25둔촌신성점,서울,강동구,진황도로206,(둔촌2동,134-6),,,,,,,CAFE25베이커리의약품택배보조배터리대여현금 출금
963,GS25둔촌역점,서울,강동구,"양재대로1367,",103호,(성내3동,416-4),,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
964,GS25둔촌주공점,서울,강동구,풍성로247,(둔촌2동,163),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
965,GS25둔촌프라자점,서울,강동구,천호대로198길32(둔촌2동,611-1),,,,,,,,의약품택배보조배터리대여현금 출금
966,GS25드림타워2점,서울,구로구,"디지털로31길41,",1층,(구로동,"197-28,",ENC벤처드림타워6차),,,,,택배
967,GS25등촌NC점,서울,강서구,강서로56가길41(등촌3동,678-2),,,,,,,,CAFE25의약품택배보조배터리대여
968,GS25등촌서낭점,서울,강서구,"화곡로63길125,",1층(등촌3동,"663-7,",윤준빌딩),,,,,,CAFE25치킨25의약품택배현금 출금undefined
969,GS25등촌스타점,서울,강서구,"등촌로39길6,",6호(등촌2동,512-7),,,,,,,의약품택배보조배터리대여현금 출금
970,GS25등촌점,서울,강서구,"화곡로61길100,",101호(등촌3동,662-6),,,,,,,의약품택배현금 출금undefined
971,GS25등촌주공점,서울,강서구,"강서로56길110,",1층,2호,(등촌동,"667-7,",상지빌딩),,,,치킨25의약품택배현금 출금
972,GS25등촌캐빈점,서울,강서구,공항대로51길17,(등촌동,654-58),,,,,,,CAFE25치킨25의약품택배
973,GS25등촌한마음점,서울,강서구,공항대로58길32(등촌2동,532-1),,,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
974,GS25등촌한올림점,서울,강서구,"화곡로64길2,",101동,103호,(등촌동,"656,",경동미르웰한울림),,,,의약품택배현금 출금
975,GS25등촌행복점,서울,강서구,"화곡로66길145,",1층,(등촌동,636-21),,,,,,치킨25의약품택배현금 출금
976,GS25등촌현대점,서울,강서구,등촌로163,(등촌2동,"715,",등촌아이파크@주상가동1층105호),,,,,,CAFE25의약품택배보조배터리대여
977,GS25디오센터점,서울,중구,"서소문로38,",111호(중림동,"500,",디오센터),,,,,,CAFE25택배
978,GS25디큐브시티점,서울,구로구,"경인로662,",지하1층,편의점,(신도림동,"692,",디큐브시티),,,,CAFE25치킨25의약품택배
979,GS25뚝섬본점,서울,성동구,아차산로38,(성수동1가,"656-766,",개풍빌딩),,,,,,의약품택배현금 출금undefined
980,GS25라마다호텔점,서울,중구,순화동195-1번지,포스코더샵빌딩,1층,112호,,,,,,CAFE25의약품택배TAX REFUND
981,GS25로데오점,서울,강남구,선릉로161길31,(신사동,659-9),,,,,,,로또판매CAFE25의약품택배현금 출금
982,GS25마곡10단지점,서울,강서구,"마곡중앙1로72,",상가동,104호,(마곡동,"747,",마곡엠밸리10단지),,,,치킨25택배현금 출금
983,GS25마곡12단지점,서울,강서구,"공항대로140,",1201동,107호,(마곡동,"746-1,",마곡엠밸리12단지),,,,치킨25의약품택배현금 출금
984,GS25마곡14단지점,서울,강서구,마곡동마곡M벨리14단지제상가동101호,,,,,,,,,CAFE25의약품택배보조배터리대여
985,GS25마곡8단지점,서울,강서구,마곡동741번지,마곡엠밸리단지,상가,105호,,,,,,CAFE25치킨25의약품택배
986,GS25마곡LG사이언스점,서울,강서구,"마곡중앙10로30,",지하1층,(마곡동,"770-1,",엘지사이언스파크),,,,,CAFE25
987,GS25마곡SB점,서울,강서구,마곡동739-3번지,마곡SB타운,1층,110호,,,,,,의약품택배보조배터리대여
988,GS25마곡SH점,서울,강서구,"공항대로205,",104호,(마곡동,"774,",에스에이치빌딩),,,,,CAFE25치킨25의약품택배현금 출금undefined
989,GS25마곡더블유점,서울,강서구,"방화대로294,",1층,113호,(마곡동,"739-1,",마곡더블유타워),,,,치킨25의약품택배현금 출금
990,GS25마곡동익점,서울,강서구,"공항대로195,",101동,128호,(마곡동,"773-3,",힐스테이트에코동익),,,,의약품택배현금 출금
991,GS25마곡라마다점,서울,강서구,"마곡중앙로161-11,",129호,(마곡동,760-1),,,,,,의약품택배
992,GS25마곡루체점,서울,강서구,"마곡동로4길23,",102호,(마곡동,"797-12,",레지던스루체브릿지호텔),,,,,CAFE25치킨25의약품택배
993,GS25마곡보타닉점,서울,강서구,"마곡중앙5로6,","109,128,129호",(마곡동),,,,,,,CAFE25치킨25의약품택배현금 출금undefinedundefined
994,GS25마곡비즈점,서울,강서구,"마곡중앙5로1길20,","117,118호",(마곡동,757-3),,,,,,CAFE25의약품택배현금 출금undefined
995,GS25마곡서브원점,서울,강서구,마곡동279-4번지,서브원사옥,오피스동,B1F,,,,,,CAFE25택배
996,GS25마곡시티점,서울,강서구,"마곡서로170,",109호,(마곡동,"758,",마곡시티오피스텔),,,,,CAFE25치킨25의약품택배현금 출금undefined
997,GS25마곡신안점,서울,강서구,"양천로30길123-9,",105호,(마곡동,"422,",마곡신안아파트),,,,,택배현금 출금
998,GS25마곡에이스점,서울,강서구,"마곡동로61,",104호,(마곡동,"772-8,",에이스프라자),,,,,CAFE25의약품택배현금 출금undefined
999,GS25마곡엠코점,서울,강서구,"강서로471,",A동,1층,105호,(마곡동,"776-4,",엠코지니어스타),,,의약품
1000,GS25마곡오드점,서울,강서구,"강서로429,",122호,(마곡동,"784-11,",마곡오드카운티1차),,,,,CAFE25의약품택배현금 출금undefined
1001,GS25마곡유림점,서울,강서구,"강서로419,",1층,104호,(마곡동,"793,",유림트윈파크),,,,의약품택배
1002,GS25마곡일성점,서울,강서구,"마곡중앙로161-22,",B동,1층,122호,(마곡동,"758-2,",마곡일성트루엘플래닛),,,치킨25의약품택배현금 출금undefined
1003,GS25마곡파크뷰점,서울,강서구,"마곡중앙6로85,",104호,(마곡동,"795-5,",마곡사이언스파크뷰),,,,,CAFE25의약품택배현금 출금
1004,GS25마곡퍼스트점,서울,강서구,"마곡중앙로76,",104호,(마곡동,"773,",힐스테이트에코마곡역),,,,,CAFE25의약품택배
1005,GS25마곡힐스테이트점,서울,강서구,"공항대로269-15,",1층,118호,(마곡동,"797-14,",힐스테이트,에코,마곡),,CAFE25의약품택배현금 출금
1006,GS25마로니에점,서울,종로구,"대학로8가길111,",1층,(동숭동,1-100),,,,,,CAFE25치킨25의약품택배현금 출금TAX REFUNDundefined
1007,GS25마장어울림점,서울,성동구,"마조로55,",116호,(마장동,"821,",금호어울림아파트),,,,,CAFE25치킨25의약품택배현금 출금
1008,GS25마장역점,서울,성동구,마장로301,(마장동,772-4),,,,,,,CAFE25치킨25의약품택배현금 출금undefined
1009,GS25마장중앙점,서울,성동구,마조로15길5,(마장동,800-20),,,,,,,CAFE25치킨25의약품택배
1010,GS25마천공원점,서울,송파구,거마로24길5,(마천2동,47-7),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
1011,GS25마천센타점,서울,송파구,마천로51길22,(마천동,178-85),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
1012,GS25마천우방점,서울,송파구,"성내천로211,",104동,102호,(마천2동,"576,",마천우방아파트),,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
1013,GS25마천중앙점,서울,송파구,마천로41길14(마천2동,128-16),,,,,,,,CAFE25의약품보조배터리대여현금 출금
1014,GS25마포LG점,서울,마포구,"마포대로155,",지하1층(공덕동,"275,",마포LG빌딩),,,,,,CAFE25택배보조배터리대여undefined
1015,GS25마포공덕점,서울,마포구,마포대로8길9(공덕동,249-12),,,,,,,,로또판매CAFE25의약품택배보조배터리대여
1016,GS25마포구청역점,서울,마포구,"월드컵로196,",1층(성산2동,"591-4,",대명비첸시티),,,,,,CAFE25의약품택배현금 출금
1017,GS25마포금솔점,서울,마포구,"만리재옛길46,",1층,(신공덕동,5),,,,,,CAFE25베이커리치킨25의약품택배보조배터리대여현금 출금undefined
1018,GS25마포당인점,서울,마포구,토정로13-1(합정동,376-27),,,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
1019,GS25마포도화점,서울,마포구,도화2길2(도화동,344),,,,,,,,로또판매CAFE25의약품택배보조배터리대여
1020,GS25마포독막로점,서울,마포구,"독막로26길10,",1층,(신수동,"354-1,",수담),,,,,CAFE25치킨25의약품택배현금 출금
1021,GS25마포만리재점,서울,마포구,만리재옛길103(아현동,407-1),,,,,,,,치킨25의약품택배
1022,GS25마포사랑점,서울,마포구,"마포대로4라길32,","지1층,",1층,(마포동,292-64),,,,,CAFE25베이커리치킨25의약품택배보조배터리대여현금 출금
1023,GS25마포성산로점,서울,마포구,월드컵북로204,(성산2동,148-51),,,,,,,의약품택배보조배터리대여현금 출금
1024,GS25마포성산점,서울,마포구,"월드컵북로121,",1층,(성산1동,53-2),,,,,,CAFE25베이커리치킨25의약품택배현금 출금TAX REFUNDundefined
1025,GS25마포성지점,서울,마포구,"도화동성지빌딩538,",106,107호,,,,,,,택배
1026,GS25마포세울점,서울,마포구,"백범로1길84,",1층,(노고산동,19-1),,,,,,CAFE25치킨25의약품택배현금 출금
1027,GS25마포센티움점,서울,마포구,"월드컵로36길14,",1동,108호(성산2동,"590-1,",상가),,,,,CAFE25의약품택배현금 출금
1028,GS25마포신수점,서울,마포구,"광성로4길11-10,",1층(신수동,88-16),,,,,,,CAFE25치킨25의약품택배현금 출금
1029,GS25마포양화로점,서울,마포구,"양화로10길15,",1층,일부,(서교동,"395-171,",I.O빌딩),,,,CAFE25택배현금 출금
1030,GS25마포역점,서울,마포구,"토정로320,",1층,(용강동,"51-8,",백남빌딩),,,,,로또판매CAFE25치킨25의약품택배현금 출금undefinedundefined
1031,GS25마포연남점,서울,마포구,"성미산로29안길25,",1층,전체,(연남동,241-87),,,,,CAFE25치킨25의약품택배
1032,GS25마포영진점,서울,마포구,마포대로63-8,(도화동,"173,",삼창프라자1층3-1호),,,,,,CAFE25치킨25의약품택배보조배터리대여
1033,GS25마포풍림점,서울,마포구,"마포대로127,",104호(공덕동,"404,",풍림VIP텔),,,,,,스포츠 토토CAFE25치킨25의약품택배보조배터리대여
1034,GS25마포하이엘점,서울,마포구,"마포대로173,",107호(공덕동,"463,",현대하이엘),,,,,,CAFE25의약품보조배터리대여
1035,GS25마포한강점,서울,마포구,"월드컵로3길14,",208호,209호,(합정동,"473,",마포한강2차푸르지오),,,,CAFE25치킨25의약품택배현금 출금
1036,GS25마포한림점,서울,마포구,포은로67(망원1동,394-86),,,,,,,,CAFE25의약품택배현금 출금
1037,GS25마포한우물점,서울,마포구,월드컵로16길3(서교동,440-15),,,,,,,,CAFE25치킨25의약품택배현금 출금undefined
1038,GS25마포허브점,서울,마포구,"마포대로204,",105호,(아현동,"737,",마포에스케이허브블루),,,,,치킨25의약품택배보조배터리대여
1039,GS25마포현대점,서울,마포구,"토정로233,",1층,(신수동,442-1),,,,,,CAFE25의약품택배현금 출금
1040,GS25망리단길점,서울,마포구,"희우정로12길11,",1층,일부,(망원동,398-14),,,,,CAFE25치킨25의약품택배
1041,GS25망우금호점,서울,중랑구,"망우로504,",1층,(망우동,"133-7,",한양빌딩),,,,,CAFE25치킨25의약품택배현금 출금undefined
1042,GS25망우미디어점,서울,중랑구,"망우로73길46,",1층,(망우본동,342-1),,,,,,CAFE25의약품택배보조배터리대여현금 출금undefined
1043,GS25망우본점,서울,중랑구,망우로67길7,(망우동,358-7),,,,,,,CAFE25의약품택배현금 출금undefined
1044,GS25망우상봉중점,서울,중랑구,상봉중앙로8나길35,(상봉동,279-15),,,,,,,의약품현금 출금
1045,GS25망우으뜸점,서울,중랑구,"망우로68길56,",상가,1층,(망우동,"364-39,",빙그레슈퍼),,,,CAFE25치킨25의약품택배현금 출금
1046,GS25망우제일점,서울,중랑구,용마산로112길37,(망우본동,366-4),,,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금undefinedundefinedundefined
1047,GS25망우중앙점,서울,중랑구,망우로411(망우본동,488-4),,,,,,,,의약품택배현금 출금
1048,GS25망우한마음점,서울,중랑구,"용마산로99길9,",1층,코너(망우3동,531-24),,,,,,CAFE25치킨25의약품택배현금 출금
1049,GS25망우한일점,서울,중랑구,"겸재로61길9,",1층,(망우3동,"525-1,",한일슈퍼),,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
1050,GS25망원그린점,서울,마포구,방울내로76-1(망원2동,475-52),,,,,,,,의약품택배현금 출금
1051,GS25망원나래길점,서울,마포구,월드컵로11길14(망원1동,379-41),,,,,,,,CAFE25치킨25의약품택배현금 출금undefined
1052,GS25망원마젤란점,서울,마포구,방울내로9안길1,(망원동,470-3),,,,,,,CAFE25치킨25의약품택배현금 출금
1053,GS25망원명품길점,서울,마포구,"월드컵로23길25,",1층,(망원1동,57-376),,,,,,의약품택배보조배터리대여현금 출금
1054,GS25망원스카이점,서울,마포구,"동교로3길105,",1층,코너,(망원동,462-5),,,,,CAFE25치킨25의약품택배현금 출금
1055,GS25망원오리엔탈점,서울,마포구,"방울내로9안길71,","101,102,103호",(망원동,466-1),,,,,,CAFE25치킨25의약품택배현금 출금
1056,GS25망원중앙점,서울,마포구,월드컵로126(성산1동,260-39),,,,,,,,스포츠 토토CAFE25의약품택배보조배터리대여현금 출금
1057,GS25망원포은로점,서울,마포구,"포은로98,",1층,코너면,(망원동,411-41),,,,,CAFE25치킨25의약품택배현금 출금undefined
1058,GS25망원하늘점,서울,마포구,"망원로3길8,",1층,(망원2동,421-30),,,,,,의약품택배
1059,GS25망원희망점,서울,마포구,희우정로16길7(망원1동,406-16),,,,,,,,로또판매CAFE25베이커리치킨25의약품택배보조배터리대여현금 출금undefined
1060,GS25먹골보람점,서울,중랑구,공릉로2길8(묵1동,176-1),,,,,,,,의약품현금 출금
1061,GS25먹골역점,서울,중랑구,동일로157길5(묵2동,244-144),,,,,,,,스포츠 토토CAFE25의약품택배보조배터리대여현금 출금
1062,GS25먹골중앙점,서울,중랑구,동일로156길10(묵1동,122-347),,,,,,,,CAFE25의약품택배현금 출금
1063,GS25면목겸재점,서울,중랑구,"겸재로50길52,",1층,(면목동,71-23),,,,,,의약품택배
1064,GS25면목공원점,서울,중랑구,"중랑천로10길20,",1층,(면목동,186-21),,,,,,CAFE25치킨25의약품택배
1065,GS25면목금성점,서울,중랑구,"봉우재로20가길27,",1층,(면목동,134-8),,,,,,CAFE25치킨25의약품택배현금 출금
